id;name;geoid;geoname;value;datetime
1193;Consumption demand;;;24912.812;2019-07-01T00:00:00+02:00
1193;Consumption demand;;;23355.645;2019-07-01T01:00:00+02:00
1193;Consumption demand;;;22152.11;2019-07-01T02:00:00+02:00
1193;Consumption demand;;;21696.029;2019-07-01T03:00:00+02:00
1193;Consumption demand;;;21615.96;2019-07-01T04:00:00+02:00
1193;Consumption demand;;;21996.899;2019-07-01T05:00:00+02:00
1193;Consumption demand;;;24120.644;2019-07-01T06:00:00+02:00
1193;Consumption demand;;;26373.715;2019-07-01T07:00:00+02:00
1193;Consumption demand;;;28542.821;2019-07-01T08:00:00+02:00
1193;Consumption demand;;;30241.379;2019-07-01T09:00:00+02:00
1193;Consumption demand;;;31574.339;2019-07-01T10:00:00+02:00
1193;Consumption demand;;;32193.985;2019-07-01T11:00:00+02:00
1193;Consumption demand;;;33315.857;2019-07-01T12:00:00+02:00
1193;Consumption demand;;;33953.974;2019-07-01T13:00:00+02:00
1193;Consumption demand;;;33646.534;2019-07-01T14:00:00+02:00
1193;Consumption demand;;;33308.745;2019-07-01T15:00:00+02:00
1193;Consumption demand;;;33232.607;2019-07-01T16:00:00+02:00
1193;Consumption demand;;;33139.383;2019-07-01T17:00:00+02:00
1193;Consumption demand;;;32416.19;2019-07-01T18:00:00+02:00
1193;Consumption demand;;;31749.904;2019-07-01T19:00:00+02:00
1193;Consumption demand;;;31072.697;2019-07-01T20:00:00+02:00
1193;Consumption demand;;;30578.435;2019-07-01T21:00:00+02:00
1193;Consumption demand;;;29522.126;2019-07-01T22:00:00+02:00
1193;Consumption demand;;;27394.44;2019-07-01T23:00:00+02:00
1193;Consumption demand;;;26138.958;2019-07-02T00:00:00+02:00
1193;Consumption demand;;;24638.612;2019-07-02T01:00:00+02:00
1193;Consumption demand;;;23592.881;2019-07-02T02:00:00+02:00
1193;Consumption demand;;;23103.73;2019-07-02T03:00:00+02:00
1193;Consumption demand;;;22980.476;2019-07-02T04:00:00+02:00
1193;Consumption demand;;;23273.569;2019-07-02T05:00:00+02:00
1193;Consumption demand;;;24889.182;2019-07-02T06:00:00+02:00
1193;Consumption demand;;;26986.506;2019-07-02T07:00:00+02:00
1193;Consumption demand;;;29144.042;2019-07-02T08:00:00+02:00
1193;Consumption demand;;;31154.946;2019-07-02T09:00:00+02:00
1193;Consumption demand;;;32203.223;2019-07-02T10:00:00+02:00
1193;Consumption demand;;;32806.449;2019-07-02T11:00:00+02:00
1193;Consumption demand;;;33576.594;2019-07-02T12:00:00+02:00
1193;Consumption demand;;;34092.494;2019-07-02T13:00:00+02:00
1193;Consumption demand;;;33655.792;2019-07-02T14:00:00+02:00
1193;Consumption demand;;;33093.058;2019-07-02T15:00:00+02:00
1193;Consumption demand;;;33097.205;2019-07-02T16:00:00+02:00
1193;Consumption demand;;;33025.361;2019-07-02T17:00:00+02:00
1193;Consumption demand;;;32362.528;2019-07-02T18:00:00+02:00
1193;Consumption demand;;;31851.297;2019-07-02T19:00:00+02:00
1193;Consumption demand;;;31176.539;2019-07-02T20:00:00+02:00
1193;Consumption demand;;;30731.569;2019-07-02T21:00:00+02:00
1193;Consumption demand;;;29907.392;2019-07-02T22:00:00+02:00
1193;Consumption demand;;;27751.854;2019-07-02T23:00:00+02:00
1193;Consumption demand;;;26463.158;2019-07-03T00:00:00+02:00
1193;Consumption demand;;;24879.487;2019-07-03T01:00:00+02:00
1193;Consumption demand;;;23692.713;2019-07-03T02:00:00+02:00
1193;Consumption demand;;;23096.13;2019-07-03T03:00:00+02:00
1193;Consumption demand;;;22957.851;2019-07-03T04:00:00+02:00
1193;Consumption demand;;;23225.252;2019-07-03T05:00:00+02:00
1193;Consumption demand;;;24829.648;2019-07-03T06:00:00+02:00
1193;Consumption demand;;;26894.771;2019-07-03T07:00:00+02:00
1193;Consumption demand;;;29060.37;2019-07-03T08:00:00+02:00
1193;Consumption demand;;;30916.88;2019-07-03T09:00:00+02:00
1193;Consumption demand;;;32031.389;2019-07-03T10:00:00+02:00
1193;Consumption demand;;;32676.164;2019-07-03T11:00:00+02:00
1193;Consumption demand;;;33525.914;2019-07-03T12:00:00+02:00
